   W                 M4+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515    0.000    0.010   -0.008    0.011
1493.809   -0.001    0.011    0.001    0.011
1500.077    0.000    0.011   -0.003    0.010
1506.319    0.003    0.012    0.005    0.009
1512.535    0.003    0.012    0.004    0.009
1518.726    0.003    0.012    0.005    0.009
1524.891   -0.002    0.012    0.002    0.008
1531.032   -0.008    0.012   -0.004    0.008
1537.148   -0.001    0.012   -0.000    0.008
1543.240   -0.003    0.012    0.000    0.008
1549.308    0.003    0.012   -0.001    0.008
1555.352   -0.001    0.012   -0.005    0.008
1561.373    0.004    0.012    0.004    0.008
1567.371    0.000    0.012    0.004    0.009
1573.346    0.002    0.012    0.006    0.009
1579.298    0.002    0.011   -0.004    0.009
1585.228    0.001    0.011   -0.003    0.009
1591.136    0.003    0.011   -0.006    0.009
1597.022   -0.001    0.011   -0.000    0.009
1602.886   -0.001    0.010    0.002    0.010
1608.729   -0.001    0.010    0.003    0.009
1614.551    0.000    0.010   -0.001    0.010
1620.352   -0.000    0.009    0.001    0.010
1626.132    0.002    0.010   -0.007    0.010
1631.892   -0.000    0.010    0.008    0.009
1637.631    0.001    0.009   -0.002    0.009
1643.351    0.001    0.008   -0.004    0.009
1649.050   -0.005    0.008   -0.004    0.008
1654.730   -0.001    0.008    0.001    0.008
1660.391    0.016    0.009   -0.019    0.011
1666.032    0.017    0.008   -0.016    0.008
1671.655    0.003    0.007   -0.002    0.009
1677.258    0.014    0.007   -0.024    0.006
1682.843   -0.003    0.008   -0.000    0.008
1688.409    0.003    0.008   -0.002    0.008
1693.957    0.013    0.007    0.008    0.006
1699.487    0.011    0.009   -0.041    0.010
1704.999    0.023    0.007   -0.041    0.006
1710.493    0.023    0.008   -0.041    0.007
1715.970    0.028    0.007   -0.041    0.006
1721.429    0.009    0.007    0.003    0.006
1726.871    0.004    0.007    0.000    0.009
1732.296    0.005    0.007    0.013    0.006
1737.704    0.007    0.008    0.012    0.009
1743.095    0.001    0.008    0.008    0.006
1748.469    0.033    0.007   -0.023    0.008
1753.827    0.013    0.007   -0.042    0.008
1759.169    0.002    0.006    0.011    0.006
1764.495    0.026    0.007   -0.030    0.008
1769.804    0.014    0.006    0.013    0.009
1775.098   -0.001    0.007    0.000    0.008
1780.376    0.029    0.006   -0.030    0.006
1785.638    0.003    0.008   -0.000    0.008
1790.885    0.003    0.007   -0.003    0.008
1796.116    0.003    0.006   -0.005    0.009
1801.333    0.013    0.008   -0.046    0.010
1806.534    0.000    0.007    0.004    0.009
1811.720    0.004    0.006    0.002    0.010
1816.892    0.016    0.006   -0.042    0.009
1822.049    0.008    0.007   -0.002    0.009
1827.191    0.010    0.007   -0.006    0.009
1832.319    0.002    0.006   -0.008    0.009
1837.432    0.017    0.006   -0.046    0.010
1842.532    0.013    0.006   -0.050    0.010
1847.617    0.008    0.006    0.002    0.007
1852.688    0.003    0.007   -0.001    0.008
1857.746    0.001    0.006    0.006    0.009
1862.790    0.017    0.006   -0.047    0.008
1867.820    0.004    0.008   -0.001    0.008
1872.836    0.006    0.007   -0.002    0.008
1877.840   -0.005    0.008    0.004    0.006
1882.829   -0.001    0.008    0.004    0.007
1887.806    0.009    0.007   -0.005    0.008
1892.770    0.003    0.008    0.005    0.008
1897.721    0.010    0.006    0.001    0.006
1902.658    0.012    0.005    0.001    0.005
1907.583    0.006    0.005    0.002    0.006
1912.496    0.030    0.004   -0.012    0.005
1917.395    0.011    0.004    0.000    0.004
1922.283    0.015    0.004   -0.006    0.004
