   W                 E0+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   13.102    0.077    8.949    0.097
1493.809   10.327    0.089   11.028    0.085
1500.077    8.361    0.096   12.094    0.076
1506.319    6.659    0.102   12.793    0.068
1512.535    5.019    0.106   13.050    0.061
1518.726    3.557    0.109   13.158    0.055
1524.891    2.209    0.110   13.035    0.050
1531.032    1.001    0.111   12.752    0.047
1537.148   -0.069    0.112   12.370    0.045
1543.240   -1.012    0.111   11.890    0.045
1549.308   -1.837    0.110   11.409    0.045
1555.352   -2.538    0.109   10.815    0.047
1561.373   -3.147    0.107   10.251    0.050
1567.371   -3.646    0.105    9.617    0.054
1573.346   -4.070    0.103    9.019    0.057
1579.298   -4.424    0.100    8.417    0.061
1585.228   -4.665    0.097    7.756    0.065
1591.136   -4.897    0.094    7.180    0.069
1597.022   -5.032    0.091    6.578    0.072
1602.886   -5.118    0.087    5.996    0.076
1608.729   -5.156    0.084    5.438    0.080
1614.551   -5.071    0.080    4.856    0.082
1620.352   -4.964    0.076    4.351    0.085
1626.132   -4.806    0.073    3.880    0.088
1631.892   -4.613    0.071    3.492    0.089
1637.631   -4.331    0.069    3.128    0.090
1643.351   -4.026    0.068    2.834    0.090
1649.050   -3.778    0.069    2.663    0.090
1654.730   -3.491    0.070    2.514    0.089
1660.391   -3.086    0.067    2.301    0.085
1666.032   -2.589    0.069    2.096    0.082
1671.655   -2.934    0.074    2.345    0.088
1677.258   -2.296    0.075    1.910    0.092
1682.843   -2.692    0.077    2.325    0.086
1688.409   -2.596    0.077    2.325    0.086
1693.957   -2.192    0.075    2.111    0.080
1699.487   -2.388    0.069    1.995    0.087
1704.999   -2.011    0.065    1.836    0.078
1710.493   -1.971    0.066    1.823    0.078
1715.970   -1.961    0.067    1.752    0.080
1721.429   -2.059    0.079    2.026    0.079
1726.871   -2.357    0.078    2.128    0.088
1732.296   -2.074    0.079    1.949    0.081
1737.704   -2.307    0.079    2.050    0.087
1743.095   -2.096    0.080    1.864    0.082
1748.469   -1.960    0.076    1.577    0.083
1753.827   -2.132    0.072    1.651    0.084
1759.169   -2.126    0.077    1.759    0.085
1764.495   -1.927    0.076    1.419    0.083
1769.804   -2.216    0.078    1.778    0.086
1775.098   -2.216    0.079    1.752    0.085
1780.376   -1.876    0.089    1.295    0.092
1785.638   -2.154    0.077    1.633    0.085
1790.885   -2.161    0.077    1.599    0.085
1796.116   -2.123    0.078    1.560    0.085
1801.333   -2.033    0.072    1.137    0.084
1806.534   -2.111    0.077    1.484    0.085
1811.720   -2.097    0.077    1.433    0.085
1816.892   -1.961    0.065    0.973    0.094
1822.049   -2.082    0.076    1.351    0.086
1827.191   -2.049    0.076    1.306    0.086
1832.319   -2.014    0.077    1.244    0.085
1837.432   -1.892    0.074    0.841    0.083
1842.532   -1.914    0.072    0.712    0.081
1847.617   -2.028    0.066    1.099    0.093
1852.688   -1.983    0.074    1.057    0.087
1857.746   -1.963    0.074    0.974    0.088
1862.790   -1.779    0.073    0.530    0.077
1867.820   -1.918    0.071    0.842    0.089
1872.836   -1.896    0.070    0.784    0.089
1877.840   -1.831    0.070    0.707    0.088
1882.829   -1.803    0.069    0.627    0.089
1887.806   -1.676    0.070    0.579    0.087
1892.770   -1.624    0.071    0.535    0.087
1897.721   -1.530    0.060    0.510    0.092
1902.658   -1.473    0.055    0.483    0.084
1907.583   -1.387    0.056    0.510    0.092
1912.496   -1.257    0.061    0.534    0.067
1917.395   -1.255    0.046    0.531    0.070
1922.283   -1.211    0.049    0.563    0.079
