   W                 E3+(peta)
 (MeV)      Re       DRe      Im       DIm
1487.515   -0.007    0.013   -0.001    0.014
1493.809   -0.009    0.013   -0.000    0.013
1500.077   -0.004    0.014   -0.003    0.012
1506.319   -0.000    0.015    0.001    0.012
1512.535   -0.001    0.015   -0.005    0.011
1518.726    0.001    0.015   -0.003    0.011
1524.891    0.004    0.016    0.003    0.010
1531.032   -0.003    0.015    0.004    0.010
1537.148   -0.000    0.015    0.003    0.010
1543.240    0.001    0.016    0.001    0.010
1549.308    0.001    0.015   -0.011    0.010
1555.352   -0.000    0.015    0.001    0.010
1561.373    0.000    0.015    0.004    0.010
1567.371    0.002    0.015    0.001    0.010
1573.346   -0.005    0.015    0.007    0.011
1579.298   -0.000    0.014   -0.001    0.011
1585.228   -0.003    0.014    0.000    0.011
1591.136   -0.003    0.013   -0.005    0.011
1597.022    0.001    0.013    0.001    0.012
1602.886    0.003    0.013   -0.001    0.012
1608.729    0.008    0.013   -0.006    0.013
1614.551    0.002    0.012   -0.000    0.013
1620.352    0.003    0.012    0.004    0.013
1626.132   -0.001    0.011    0.004    0.013
1631.892    0.007    0.011    0.005    0.013
1637.631   -0.005    0.010    0.000    0.013
1643.351   -0.005    0.010   -0.005    0.013
1649.050   -0.001    0.010    0.006    0.012
1654.730    0.002    0.009    0.001    0.011
1660.391   -0.007    0.009   -0.004    0.011
1666.032   -0.002    0.010   -0.001    0.011
1671.655    0.007    0.009    0.004    0.011
1677.258    0.008    0.011    0.008    0.010
1682.843   -0.003    0.010    0.003    0.011
1688.409    0.003    0.010   -0.001    0.010
1693.957   -0.000    0.010    0.002    0.011
1699.487    0.009    0.011    0.005    0.010
1704.999   -0.000    0.011   -0.000    0.012
1710.493    0.001    0.011   -0.001    0.012
1715.970    0.006    0.012    0.001    0.010
1721.429    0.006    0.012   -0.002    0.009
1726.871    0.000    0.013   -0.008    0.010
1732.296   -0.002    0.011   -0.004    0.011
1737.704   -0.000    0.012   -0.010    0.011
1743.095   -0.001    0.011   -0.003    0.012
1748.469    0.002    0.010   -0.003    0.015
1753.827    0.001    0.012    0.003    0.011
1759.169   -0.001    0.011   -0.004    0.010
1764.495    0.008    0.013    0.004    0.011
1769.804    0.006    0.009   -0.008    0.009
1775.098    0.004    0.010    0.004    0.012
1780.376   -0.009    0.009    0.002    0.013
1785.638    0.000    0.009    0.002    0.013
1790.885   -0.006    0.010    0.002    0.012
1796.116    0.007    0.009   -0.005    0.008
1801.333    0.008    0.012    0.000    0.009
1806.534    0.008    0.010   -0.002    0.010
1811.720   -0.004    0.011   -0.002    0.010
1816.892   -0.005    0.010    0.001    0.011
1822.049   -0.003    0.011    0.002    0.011
1827.191    0.007    0.011    0.004    0.011
1832.319    0.019    0.010    0.002    0.010
1837.432   -0.003    0.010   -0.008    0.013
1842.532   -0.003    0.008    0.005    0.014
1847.617   -0.001    0.007   -0.003    0.010
1852.688    0.010    0.011    0.002    0.010
1857.746    0.011    0.009    0.001    0.010
1862.790   -0.008    0.011    0.006    0.013
1867.820   -0.002    0.010    0.006    0.014
1872.836   -0.000    0.010    0.001    0.011
1877.840    0.002    0.008   -0.002    0.010
1882.829   -0.069    0.006   -0.026    0.009
1887.806    0.001    0.008    0.009    0.011
1892.770   -0.007    0.009   -0.004    0.011
1897.721   -0.006    0.007    0.002    0.010
1902.658   -0.052    0.006    0.008    0.009
1907.583   -0.051    0.006    0.011    0.008
1912.496    0.002    0.006    0.003    0.006
1917.395   -0.004    0.005   -0.003    0.007
1922.283   -0.045    0.005    0.006    0.007
